,NCBIID,EC,Forward,Reverse
500,186831,1.3.3.3,17600000,17600000
501,186831,6.3.4.2,440119.7605,440119.7605
502,186831,4.4.1.1,7826.274745,54360
503,186831,2.5.1.47,7422.869955,7422.869955
504,186831,2.7.1.213,121.1912351,134.5973451
505,186831,2.7.4.14,184.7196653,53.83902439
506,186831,2.7.1.48,3849430.894,3849430.894
507,186831,2.7.1.107,495885,495885
508,186831,4.1.1.20,1133.698276,1133.698276
509,186831,5.1.1.7,11879200,11879200
510,186831,2.7.7.41,28811.65919,28811.65919
511,186831,3.5.4.12,660.4819277,1074.901961
512,186831,4.2.1.9,148555,148555
513,186831,1.5.1.3,3984.375,3984.375
514,186831,4.1.2.25,4891343874,7832341772
515,186831,1.3.5.2,813.1367925,813.1367925
516,186831,3.5.2.3,27155.55556,21203.65297
517,186831,2.5.1.15,284183.4862,313363.6823
518,186831,4.2.3.4,4480.432432,4480.432432
519,186831,2.5.1.1,89818.18182,988000
520,186831,2.7.1.24,1038813.953,1351558.245
521,186831,1.1.1.169,2011.987952,1999.94012
522,186831,4.1.2.4,73.828125,73.828125
523,186831,2.7.1.145,1405000,1405000
524,186831,2.4.2.1,7.735849057,7.735849057
525,186831,1.1.1.267,108796.2963,146875
526,186831,1.2.1.72,360750,360750
527,186831,1.3.1.10,230.4147465,1666.666667
528,186831,4.2.1.17,290.885632,290.885632
529,186831,4.2.1.11,1726.843444,1726.843444
530,186831,4.3.1.7,51384.61538,51384.61538
531,186831,4.1.2.13,9160.447761,7169.976636
532,186831,3.1.3.11,13782.35294,13782.35294
533,186831,1.18.1.3,92102.5,92102.5
534,186831,3.5.3.8,419.45,419.45
535,186831,2.7.7.2,443223.8806,494933333.3
536,186831,3.5.1.49,840.1976936,840.1976936
537,186831,3.2.1.18,102178.938,102178.938
538,186831,6.3.2.17,37647.05882,34594.59459
539,186831,2.5.1.29,251600,251600
540,186831,6.3.3.2,27848.10127,27672.95597
541,186831,4.2.1.2,293.1506849,2547.619048
542,186831,2.3.1.157,655.9961198,655.9961198
543,186831,5.4.3.8,153191.4894,153191.4894
544,186831,2.3.1.15,4520090.909,4865068.493
545,186831,3.5.99.6,963.9642857,963.9642857
546,186831,5.3.1.9,31.61290323,31.61290323
547,186831,4.2.1.42,7269180.328,7269180.328
548,186831,2.7.7.9,563.4820974,563.4820974
549,186831,2.1.2.2,1595.945946,1595.945946
550,186831,1.4.4.2,10205.47945,10205.47945
551,186831,2.1.2.10,4223.300971,4223.300971
552,186831,1.8.1.4,276.2331839,276.2331839
553,186831,2.6.1.16,44159.35484,6977.268094
554,186831,2.3.2.2,1015.462728,1015.462728
555,186831,2.7.7.27,1778.846154,1778.846154
556,186831,6.3.1.2,7345.854732,7345.854732
557,186831,4.1.1.15,16799.29266,16799.29266
558,186831,1.4.1.4,71.86329588,5.357766143
559,186831,1.4.1.13,5971.479501,5971.479501
560,186831,5.1.1.3,15563.75,1729.305556
