Species,Small-molecule metabolite or macromolecule,Metabolic activity,Ref. #
Lactobacillus casei,Thymine,Consumption (import),144
Lactobacillus casei,Xanthine,Consumption (import),144
Lactobacillus coleohominis,Acetate,Production (export),385(G)
Lactobacillus coleohominis,CO2,Production (export),641(G)
Lactobacillus coleohominis,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus coleohominis,D-Ribose (Ribose),Consumption (import),242
Lactobacillus coleohominis,Ethanol,Production (export),641(G)
Lactobacillus coleohominis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus coleohominis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus coryniformis,Acetate,Production (export),385(G)
Lactobacillus coryniformis,CO2,Production (export),641(G)
Lactobacillus coryniformis,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus coryniformis,"D-Gluconate (D-Gluconic acid, Gluconate)",Consumption (import),242
Lactobacillus coryniformis,D-Mannitol (Mannitol),Consumption (import),242
Lactobacillus coryniformis,Ethanol,Production (export),641(G)
Lactobacillus coryniformis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus coryniformis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus coryniformis,Sucrose,Consumption (import),242
Lactobacillus crispatus,Acetate,Production (export),385(G)
Lactobacillus crispatus,CO2,Production (export),641(G)
Lactobacillus crispatus,Cellobiose,Consumption (import),"242, 702"
Lactobacillus crispatus,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus crispatus,D-Galactose,Consumption (import),242
Lactobacillus crispatus,D-Glucose (Glucose),Consumption (import),702
Lactobacillus crispatus,D-Mannose (Mannose),Consumption (import),242
Lactobacillus crispatus,Ethanol,Production (export),641(G)
Lactobacillus crispatus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus crispatus,Lactose,Consumption (import),242
Lactobacillus crispatus,Maltose,Consumption (import),242
Lactobacillus crispatus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus crispatus,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,702
Lactobacillus crispatus,Sucrose,Consumption (import),242
Lactobacillus curvatus,Acetate,Production (export),385(G)
Lactobacillus curvatus,CO2,Production (export),641(G)
Lactobacillus curvatus,Cellobiose,Consumption (import),242
Lactobacillus curvatus,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus curvatus,D-Ribose (Ribose),Consumption (import),242
Lactobacillus curvatus,Ethanol,Production (export),641(G)
Lactobacillus curvatus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus curvatus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus delbrueckii,Acetate,Production (export),385(G)
Lactobacillus delbrueckii,"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])",Consumption (import),301
Lactobacillus delbrueckii,CO2,Production (export),641(G)
Lactobacillus delbrueckii,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus delbrueckii,D-Glucose (Glucose),Consumption (import),703
Lactobacillus delbrueckii,D-Mannitol (Mannitol),Consumption (import),302
Lactobacillus delbrueckii,D-Mannose (Mannose),Consumption (import),242
Lactobacillus delbrueckii,Ethanol,Production (export),641(G)
Lactobacillus delbrueckii,"Folic acid (Folate, Vitamin B9)",Consumption (import),242
Lactobacillus delbrueckii,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"300, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus delbrueckii,Lactose,Consumption (import),300
Lactobacillus delbrueckii,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),242
Lactobacillus delbrueckii,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),"144, 65(G)"
Lactobacillus delbrueckii,Polypeptide,Macromolecule degradation,299
Lactobacillus delbrueckii,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",Consumption (import),144
Lactobacillus delbrueckii,Riboflavin (Vitamin B2),Consumption (import),144
Lactobacillus delbrueckii,Sucrose,Consumption (import),242
Lactobacillus equi,Acetate,Production (export),385(G)
Lactobacillus equi,CO2,Production (export),641(G)
Lactobacillus equi,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus equi,D-Mannitol (Mannitol),Consumption (import),242
Lactobacillus equi,Ethanol,Production (export),641(G)
Lactobacillus equi,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus equi,Melibiose,Consumption (import),242
Lactobacillus equi,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus equi,Raffinose,Consumption (import),242
Lactobacillus equi,Sucrose,Consumption (import),242
Lactobacillus equicursoris,Acetate,Production (export),385(G)
Lactobacillus equicursoris,CO2,Production (export),641(G)
Lactobacillus equicursoris,Cellobiose,Consumption (import),510
Lactobacillus equicursoris,D-Fructose (Fructose),Consumption (import),"510, 108(G)"
Lactobacillus equicursoris,D-Galactose,Consumption (import),510
Lactobacillus equicursoris,D-Glucose (Glucose),Consumption (import),510
Lactobacillus equicursoris,D-Mannitol (Mannitol),Consumption (import),510
Lactobacillus equicursoris,D-Mannose (Mannose),Consumption (import),510
Lactobacillus equicursoris,Ethanol,Production (export),641(G)
Lactobacillus equicursoris,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"510, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus equicursoris,Lactose,Consumption (import),510
Lactobacillus equicursoris,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus equicursoris,Raffinose,Consumption (import),510
Lactobacillus equicursoris,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,510
Lactobacillus farciminis,Acetate,Production (export),385(G)
Lactobacillus farciminis,CO2,Production (export),641(G)
Lactobacillus farciminis,Cellobiose,Consumption (import),242
Lactobacillus farciminis,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus farciminis,D-Galactose,Consumption (import),242
Lactobacillus farciminis,D-Mannose (Mannose),Consumption (import),242
Lactobacillus farciminis,Ethanol,Production (export),641(G)
Lactobacillus farciminis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"242, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus farciminis,Lactose,Consumption (import),242
Lactobacillus farciminis,Maltose,Consumption (import),242
Lactobacillus farciminis,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus farciminis,Sucrose,Consumption (import),242
Lactobacillus farciminis,Trehalose,Consumption (import),242
Lactobacillus fermentum,Acetate,Production (export),385(G)
Lactobacillus fermentum,CO2,Production (export),641(G)
Lactobacillus fermentum,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus fermentum,D-Galactose,Consumption (import),704
Lactobacillus fermentum,D-Glucose (Glucose),Consumption (import),704
Lactobacillus fermentum,D-Mannitol (Mannitol),"Consumption (import), Production (export)",import:290;export:290
Lactobacillus fermentum,D-Ribose (Ribose),Consumption (import),242
Lactobacillus fermentum,D-Tagatose,Consumption (import),298
Lactobacillus fermentum,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),150
Lactobacillus fermentum,Ethanol,Production (export),641(G)
Lactobacillus fermentum,"Folic acid (Folate, Vitamin B9)",Production (export),293
Lactobacillus fermentum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus fermentum,Maltose,Consumption (import),704
Lactobacillus fermentum,Melibiose,Consumption (import),242
Lactobacillus fermentum,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),242
Lactobacillus fermentum,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),"242, 65(G)"
Lactobacillus fermentum,Raffinose,Consumption (import),242
Lactobacillus fermentum,Riboflavin (Vitamin B2),Production (export),54
Lactobacillus fermentum,Sucrose,Consumption (import),242
Lactobacillus fermentum,"Thiamine (Vitamin B1, Thiamin)",Consumption (import),242
Lactobacillus florum,Acetate,Production (export),"511, 385(G)"
Lactobacillus florum,CO2,Production (export),641(G)
Lactobacillus florum,D-Fructose (Fructose),Consumption (import),"511, 108(G)"
Lactobacillus florum,D-Glucose (Glucose),Consumption (import),511
Lactobacillus florum,Ethanol,Production (export),"511, 641(G)"
Lactobacillus florum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"511, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus florum,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus fructivorans,Acetate,Production (export),385(G)
Lactobacillus fructivorans,CO2,Production (export),641(G)
Lactobacillus fructivorans,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus fructivorans,Ethanol,Production (export),641(G)
Lactobacillus fructivorans,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"242, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus fructivorans,Maltose,Consumption (import),242
Lactobacillus fructivorans,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus fructivorans,Sucrose,Consumption (import),242
Lactobacillus gasseri,Acetate,Production (export),385(G)
Lactobacillus gasseri,CO2,Production (export),641(G)
Lactobacillus gasseri,Cellobiose,Consumption (import),242
Lactobacillus gasseri,Chenodeoxycholic acid (Chenodeoxycholate),Production (export),"133, 287"
Lactobacillus gasseri,Cholic acid (Cholate),Production (export),"124, 133, 287"
Lactobacillus gasseri,D-Fructose (Fructose),Consumption (import),"289, 705, 108(G)"
Lactobacillus gasseri,D-Galactose,Consumption (import),"242, 705"
Lactobacillus gasseri,D-Glucose (Glucose),Consumption (import),54
Lactobacillus gasseri,D-Mannitol (Mannitol),Consumption (import),290
Lactobacillus gasseri,D-Mannose (Mannose),Consumption (import),242
Lactobacillus gasseri,Deoxycholic acid,Production (export),"133, 287"
Lactobacillus gasseri,Ethanol,Production (export),641(G)
Lactobacillus gasseri,"Folic acid (Folate, Vitamin B9)",Consumption (import),"54, 303"
Lactobacillus gasseri,Glycochenodeoxycholate,Consumption (import),"133, 287"
Lactobacillus gasseri,Glycocholate,Consumption (import),"133, 287"
Lactobacillus gasseri,Glycodeoxycholate,Consumption (import),"133, 287"
Lactobacillus gasseri,Glycolithocholate,Consumption (import),"133, 287"
Lactobacillus gasseri,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"25(G), 46(G), 641(G), 654(G)"
Lactobacillus gasseri,Lactose,Consumption (import),304
Lactobacillus gasseri,Lithocholic acid,Production (export),"133, 287"
Lactobacillus gasseri,Maltose,Consumption (import),705
Lactobacillus gasseri,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus gasseri,Sucrose,Consumption (import),"242, 705"
Lactobacillus gasseri,Tauro-b-muricholic acid,Consumption (import),124
Lactobacillus gasseri,Taurochenodeoxycholate,Consumption (import),287
Lactobacillus gasseri,Taurocholate,Consumption (import),"124, 133, 287"
Lactobacillus gasseri,Taurodeoxycholate,Consumption (import),"133, 287"
Lactobacillus gasseri,Taurolithocholate,Consumption (import),"133, 287"
Lactobacillus gasseri,beta-Muricholic acid,Production (export),124
Lactobacillus gastricus,Acetate,Production (export),385(G)
Lactobacillus gastricus,CO2,Production (export),641(G)
Lactobacillus gastricus,Cellobiose,Consumption (import),242
Lactobacillus gastricus,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus gastricus,D-Galactose,Consumption (import),242
Lactobacillus gastricus,D-Mannose (Mannose),Consumption (import),242
Lactobacillus gastricus,Ethanol,Production (export),641(G)
Lactobacillus gastricus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"242, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus gastricus,Maltose,Consumption (import),242
Lactobacillus gastricus,Melibiose,Consumption (import),242
Lactobacillus gastricus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus gastricus,Raffinose,Consumption (import),242
Lactobacillus gastricus,Sucrose,Consumption (import),242
Lactobacillus gastricus,Trehalose,Consumption (import),242
Lactobacillus gigeriorum,Acetate,Production (export),385(G)
Lactobacillus gigeriorum,CO2,Production (export),641(G)
Lactobacillus gigeriorum,Cellobiose,Consumption (import),512
Lactobacillus gigeriorum,D-Fructose (Fructose),Consumption (import),"512, 108(G)"
Lactobacillus gigeriorum,D-Galactose,Consumption (import),512
Lactobacillus gigeriorum,D-Glucose (Glucose),Consumption (import),512
Lactobacillus gigeriorum,D-Mannose (Mannose),Consumption (import),512
Lactobacillus gigeriorum,Ethanol,Production (export),641(G)
Lactobacillus gigeriorum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"512, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus gigeriorum,Maltose,Consumption (import),512
Lactobacillus gigeriorum,N-Acetyl-D-Glucosamine (N-Acetylglucosamine),Consumption (import),512
Lactobacillus gigeriorum,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),65(G)
Lactobacillus gigeriorum,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,512
Lactobacillus gigeriorum,Sucrose,Consumption (import),512
Lactobacillus helveticus,Acetate,Production (export),385(G)
Lactobacillus helveticus,CO2,Production (export),641(G)
Lactobacillus helveticus,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus helveticus,D-Galactose,Consumption (import),242
Lactobacillus helveticus,D-Tagatose,Consumption (import),298
Lactobacillus helveticus,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),150
Lactobacillus helveticus,Ethanol,Production (export),641(G)
Lactobacillus helveticus,FOS (Fructooligosaccharide),Consumption (import),152
Lactobacillus helveticus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"300, 25(G), 46(G), 641(G), 654(G)"
Lactobacillus helveticus,Lactose,Consumption (import),"242, 300"
Lactobacillus helveticus,Maltose,Consumption (import),242
Lactobacillus helveticus,"NH3 (Ammonia, NH4+, Ammonium)",Consumption (import) (-),720
Lactobacillus helveticus,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),242
Lactobacillus helveticus,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),"242, 65(G)"
Lactobacillus helveticus,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)","Consumption (import), Production (export)","import:242;export:54, 63"
Lactobacillus helveticus,Riboflavin (Vitamin B2),Consumption (import),"144, 242"
Lactobacillus helveticus,"Thiamine (Vitamin B1, Thiamin)",Production (export),"54, 63"
Lactobacillus hilgardii,Acetate,Production (export),385(G)
Lactobacillus hilgardii,CO2,Production (export),641(G)
Lactobacillus hilgardii,Chenodeoxycholic acid (Chenodeoxycholate),Production (export),133
Lactobacillus hilgardii,Cholic acid (Cholate),Production (export),133
Lactobacillus hilgardii,D-Fructose (Fructose),Consumption (import),108(G)
Lactobacillus hilgardii,D-Ribose (Ribose),Consumption (import),242
Lactobacillus hilgardii,D-Xylose (Xylose),Consumption (import),242
Lactobacillus hilgardii,Deoxycholic acid,Production (export),133
Lactobacillus hilgardii,Ethanol,Production (export),641(G)
Lactobacillus hilgardii,Glycochenodeoxycholate,Consumption (import),133
Lactobacillus hilgardii,Glycocholate,Consumption (import),133
